                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.0059,                  0.526,                 1.0716,                0.86683,                0.78904,                0.85869,                0.62584,                 1.1074,                0.53327,                 1.1497,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.0037,                0.52527,                 1.0664,                0.87044,                0.79182,                0.85927,                0.62728,                 1.1076,                0.53306,                   1.15,               0.007723,               0.007723,               0.007723
                    118,                  1.002,                0.52319,                  1.067,                0.86815,                0.78847,                  0.859,                0.62572,                 1.1073,                0.53265,                 1.1501,              0.0077032,              0.0077032,              0.0077032
                    119,                      1,                0.52193,                 1.0684,                0.86391,                0.79009,                0.85797,                0.62451,                 1.1069,                0.53277,                 1.1498,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.0034,                0.52504,                 1.0724,                0.86376,                0.78896,                0.85853,                0.62416,                 1.1062,                0.53257,                 1.1496,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.0006,                0.52193,                 1.0672,                0.84603,                0.80358,                0.85997,                0.62493,                 1.1062,                0.53253,                 1.1493,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.0014,                0.52339,                 1.0656,                0.84916,                 0.8003,                0.85918,                 0.6251,                 1.1061,                0.53226,                 1.1493,               0.007624,               0.007624,               0.007624
                    123,                0.99351,                0.51853,                 1.0622,                0.84457,                0.80722,                0.85874,                0.62356,                 1.1061,                0.53279,                 1.1495,              0.0076042,              0.0076042,              0.0076042
                    124,                 0.9944,                0.51491,                 1.0674,                0.84738,                0.80452,                0.85673,                0.62342,                  1.106,                0.53245,                 1.1496,              0.0075844,              0.0075844,              0.0075844
                    125,                0.99371,                0.51172,                 1.0634,                0.84876,                0.80377,                0.86147,                0.62438,                  1.106,                0.53264,                 1.1499,              0.0075646,              0.0075646,              0.0075646
                    126,                0.99092,                0.51383,                 1.0624,                0.84769,                0.80476,                 0.8617,                0.62481,                 1.1056,                0.53213,                 1.1498,              0.0075448,              0.0075448,              0.0075448
                    127,                0.98916,                0.51511,                  1.061,                0.84422,                0.80873,                0.86182,                0.62678,                 1.1057,                0.53201,                   1.15,               0.007525,               0.007525,               0.007525
                    128,                0.98693,                0.51211,                 1.0637,                0.84436,                0.80771,                0.86375,                0.62709,                 1.1059,                0.53187,                 1.1501,              0.0075052,              0.0075052,              0.0075052
                    129,                0.98647,                0.51026,                 1.0578,                0.84424,                0.79986,                0.86304,                0.62884,                  1.106,                0.53197,                 1.1502,              0.0074854,              0.0074854,              0.0074854
                    130,                0.98763,                0.51086,                 1.0627,                0.84225,                0.80177,                0.86131,                0.62849,                 1.1062,                0.53207,                 1.1507,              0.0074656,              0.0074656,              0.0074656
                    131,                0.98769,                0.51127,                 1.0612,                0.84472,                0.81102,                0.86248,                0.62812,                 1.1067,                0.53252,                 1.1509,              0.0074458,              0.0074458,              0.0074458
                    132,                0.98253,                0.50864,                 1.0579,                0.83895,                0.81342,                0.86284,                0.62793,                 1.1069,                0.53233,                  1.151,               0.007426,               0.007426,               0.007426
                    133,                0.97857,                0.50643,                 1.0548,                0.83988,                0.81352,                0.86486,                0.62952,                 1.1065,                0.53235,                 1.1512,              0.0074062,              0.0074062,              0.0074062
                    134,                0.98267,                0.50324,                 1.0593,                0.84219,                0.81352,                0.86486,                0.62959,                 1.1063,                0.53253,                 1.1512,              0.0073864,              0.0073864,              0.0073864
                    135,                0.97661,                0.50717,                 1.0545,                0.84022,                0.81861,                 0.8654,                0.62915,                 1.1061,                0.53254,                 1.1513,              0.0073666,              0.0073666,              0.0073666
                    136,                0.97412,                0.49939,                 1.0549,                0.84114,                0.81679,                0.86803,                0.63125,                 1.1061,                0.53285,                 1.1513,              0.0073468,              0.0073468,              0.0073468
                    137,                0.97098,                0.49986,                 1.0544,                0.83869,                0.81681,                0.86823,                0.63212,                  1.106,                0.53289,                 1.1512,               0.007327,               0.007327,               0.007327
                    138,                0.97663,                0.50657,                 1.0553,                0.83834,                0.81582,                 0.8682,                0.63194,                 1.1061,                0.53263,                 1.1513,              0.0073072,              0.0073072,              0.0073072
                    139,                0.97388,                0.50419,                  1.051,                 0.8404,                0.81466,                0.86785,                0.63179,                 1.1059,                0.53279,                 1.1511,              0.0072874,              0.0072874,              0.0072874
                    140,                0.97453,                0.50022,                 1.0522,                0.84353,                0.81314,                0.86959,                0.63248,                 1.1061,                0.53223,                 1.1514,              0.0072676,              0.0072676,              0.0072676
